"date","on","1w","2w","1m","3m","6m","9m","1y"
"20170927","2.863","2.9494","3.791","4.0174","4.3565","4.3875","4.399","4.4048"
"20170926","2.837","2.9291","3.7811","4.0062","4.3558","4.3875","4.3978","4.404"
"20170925","2.758","2.8987","3.7719","3.9941","4.3578","4.3884","4.3977","4.4033"
"20170922","2.756","2.858","3.7659","3.9908","4.3611","4.39","4.399","4.4028"
"20170921","2.8057","2.869","3.7639","3.9897","4.3675","4.3919","4.397","4.4031"
"20170920","2.79","2.869","3.758","3.9854","4.367","4.3918","4.3989","4.404"
"20170919","2.832","2.868","3.7524","3.9815","4.3638","4.3903","4.3988","4.4032"
"20170918","2.756","2.844","3.737","3.9667","4.3643","4.3874","4.3976","4.4012"
"20170915","2.6958","2.832","3.7218","3.951","4.3647","4.387","4.398","4.4015"
"20170914","2.681","2.8239","3.713","3.9361","4.3675","4.3874","4.397","4.399"
"20170913","2.65","2.8056","3.7103","3.9305","4.3711","4.3891","4.3957","4.401"
"20170912","2.6483","2.8036","3.7085","3.9354","4.3768","4.3908","4.397","4.4009"
"20170911","2.644","2.8014","3.7085","3.9339","4.4034","4.3974","4.4011","4.4033"
"20170908","2.636","2.8023","3.7088","3.937","4.4281","4.4019","4.4011","4.4059"
"20170907","2.6406","2.8056","3.711","3.9335","4.4348","4.4014","4.4006","4.4055"
"20170906","2.641","2.8092","3.713","3.919","4.4271","4.3981","4.3965","4.4034"
"20170905","2.665","2.8202","3.715","3.9094","4.4173","4.3961","4.3942","4.4032"
"20170904","2.75","2.8572","3.7238","3.9032","4.4023","4.3919","4.3916","4.4017"
"20170901","2.813","2.8764","3.7262","3.892","4.3741","4.3861","4.3919","4.4023"
"20170831","2.831","2.8879","3.7336","3.892","4.3728","4.3884","4.3945","4.4038"
"20170830","2.9237","2.9266","3.75","3.9055","4.3867","4.3968","4.4018","4.4133"
"20170829","2.922","2.921","3.7447","3.8962","4.3765","4.3937","4.4008","4.4107"
"20170828","2.851","2.9064","3.7399","3.8915","4.374","4.3924","4.3975","4.4078"
"20170825","2.855","2.9098","3.739","3.8872","4.3689","4.3898","4.3945","4.4068"
